cancer_type,TRPM3,SPTA1,SLC47A1,OR2M2,PCDHA4,MKRN3,C7orf62,ASB5,MICB,SNX25,ZNF567,NPAP1,CYP4V2,ZFHX4,CAP2,RXFP2,ZNF230,PMEPA1,FAM63A,ZNF844,SYCP2,CUBN,FNDC1,SUCO,XIRP2,F2RL3,RNF207,TEX14,NRXN2,PARK2,MROH5,CCDC158,GPR179,OR11H1,HS6ST1,CDC25B,PNMA2,ATP1A4,CST8,SALL3,C1QA,ITSN1,KIAA1211,RYR3,WDR7,TLN2,ZNF831,BUD13,APBB2,ZNF578,MAP3K4,MS4A6E,SVOP,PEX5L,TSKS,TUBA3E,ZNF608,RASL11A,ADAMTS7,SSPO,CDKL1,8-Mar,WDR17,FUT8,SLC45A1,KLK11,CWC27,DDR2,ANGPTL1,TMOD4,PER1,MUC5B,MGMT,NRXN1,PRAC1,VWA3B,ADAMTS19,ZNF700,ESPL1,SLITRK5,SPANXN3,OR2H1,OR10C1,DRD5,ANAPC1P1,GRM6,CCDC67,SVEP1,JAKMIP2,ZNF667,ADAMTS17,NLRP9,ZNF626,PCSK6,NBEA,STIP1,MAP3K11,CTD-3092A11.2,CCR6,MYH11,SEL1L2,TBC1D9B,ZNF516,ST8SIA6,MPHOSPH10,TRHDE,CNGA3,SSR2,TYRP1,MYO18B,STAC3,EIF3B,FAM186B,SDHAP1,AC116165.1,ACOT8,HTR6,OR5M1,CSMD1,MC2R,CYTH4,FYB,LRIG3,BTNL2,IQGAP2,FLT4,FAM81B,FAM47C,TAOK1,ALG1,DCAF4L2,EXPH5,ANKRD23,GCN1L1,CCDC155,PLXND1,BTBD7,CTCF,PCDH10,RNF144A,COL1A2,ACTR6,NUBP1,PDE1C,SLC6A19,SPEN,SLC17A3,TRIM29,EN1,PTPRO,TTN,GATA6,PTPRB,GPR12,RYR2,LYVE1,SAMSN1,TNFAIP3,KIAA1462,OS9,AVEN,VARS,FMN1,COL5A3,NDNF,XPO4,ZNF605,IGKV1D-13,KIF1C,SCN7A,ABCB10,HEATR5B,HYDIN,NYNRIN,NLRP3,SCN1A,PCDHA6,SCD5,AMFR,GTF2H2,SLCO1C1,AGBL1,RP11-240B13.2,COCH,KIR3DX1,GRIA2,EVI5,CNTNAP2,EP400,AHNAK2,CPS1,ADAM18,VWF,FCGR2B,IREB2,OTOGL,VPS11,ADAMTS16,PDPR,SLC17A8,ASNS,ZNF780A,PPIC,EP300,MLEC,SRRM1,ESYT3,DFFA,TBX22,ATF4P4,ARHGEF25,COL3A1,UROC1,ST3GAL3,CAMK2D,DCHS2,ZNF275,ZNF664,PCDHB7,CCDC80,TBC1D32,DNAI1,CALCRL,SORBS2,BLID,TRIOBP,PDE4D,KAT6B,ZNF423,KIF7,MAGI2,FAS,FAM98C,COBLL1,F10,RAB27B,NLRP13,FRMD1,ZNF750,CEP76,PCDHA12,GRID1,DCC,OCIAD2,PCDHGA7,PALMD,FBXW8,MYH2,DENND4C,PRKCZ,IFNA10,SYN3,FAM178A,LRRN3,MYH4,LILRB5,MIR517B,NLRP2,FCGBP,ZPR1,KIR2DL3,BARX2,MCF2L,GPR37L1,SCAPER,FLG,DMRT1,ABCG4,ACAN,KAT6A,JAK1,RGS17,CRP,TEX15,SYNJ1,TMEM38A,SULT1C2,MMP1,DCUN1D3,ATP2A3,UBQLN4,PSMC2,DGKG,ACVR1C,ZSCAN10,FBXW7,SAMHD1,MTSS1,THSD7B,GSTA2,NT5C1A,PILRB,MYOM1,KHNYN,UNC5C,PLCB4,UNC13C,PCDHA9,FAM86C1,GALNS,BBX,HNRNPF,KCNK9,MORN4,FAM161A,ITM2C,IGLV6-57,UBR2,KLC4,FBXL6,CWF19L2,TUBB3,VPS52,GATA2,ERAP2,AK9,RP11-393I23.4,MUC13,VANGL1,KIF1B,ATR,IRX6,SPEF2,RREB1,IBSP,FIGN,CCDC8,FOXD4L5,CDH7,CTTNBP2,PKD1L2,TULP4,MYOZ2,SETD3,ANKRD50,MORC1,CELSR1,NAALADL2,NRG1,PLA1A,SPAG7,INTS2,DEFB4A,MFSD6L,RAPGEF6,OR56A1,TRIM36,NOTCH3,CLPS,NEFL,IRF5,FGF7,CNTNAP4,MAN2A2,DOCK2,KRT23,UGGT2,CMTM5,RGS8,IL22RA1,GTPBP2,MOCS3,HDC,C8orf22,NKG7,HECW1,SP7,KIAA1468,CEP290,ZNF671,PABPC3,ZNF638,PCDHGB3,NTRK1,OR8K1,NAPA,ZFP82,SCRIB,RANBP17,CIB3,KANK4,AKAP9,C1QTNF2,ZNF521,MPHOSPH9,SALL1,DCHS1,ERMN,AHNAK,PCLO,ZC3H13,PKHD1L1,GP2,EFTUD2,PLK4,ACAD10,PPFIA3,ACP6,PRR5L,ZSWIM8,NFATC3,TIAM2,DPP3,MAP2K6,PCM1,RGL1,COL9A3,ASPM,OR8G1,ADGRL1,ZNF74,ITGA6,SLIT2,FRY,SPZ1,HS3ST5,RELA,CSF1R,HTR2C,SPG7,ADGRF5,BRD7,SOGA3,CLEC9A,ZDHHC15,CPB2,ROS1,CSMD3,ZNF724P,ZNF106,MATN2,TLE6,RP11-407N17.3,SLC8A3,SLC2A13,IGSF8,OR5T2,AKR1B15,MPP4,RELN,PCDHGA3,GJB4,LGALS16,CCDC88B,OR2T2,RGS13,CAPN10,BRCA1,USP32,WFDC6,6-Mar,IGDCC3,SLC22A18,ANKRD24,COL6A3,NLRP7,DNAH7,KRT79,PARM1,FBXO47,PDGFA,TBC1D4,MBP,SGCZ,WSCD2,DPYD,ABCB1,GRAMD1B,WDR60,MFN1,ALPL,PTCHD1,TRIM3,SASS6,VPS13C,SEL1L3,ACSBG1,PAPLN,DOCK7,CLMN,RNMT,CNGA1,CHGB,OR2T33,USP33,ENPP4,FBXO22,ANKS1B,TAAR6,OR8B8,SYT5,B3GALNT1,CASD1,HTR3B,BCO1,ZNF599,LRRC30,C6orf118,YLPM1,EPHA7,MYO5A,OR5H6,CHEK2,PPP2R5C,ST6GAL2,GSTP1,RIMBP3B,TRDC,PAOX,KCNN2,NTRK2,MIR524,UTP14C,OR1Q1,KIF18B,GDAP1L1,LMLN,OR52N4,GJA8,MMEL1,CPNE1,COL19A1,CSN2,ELP3,PLIN4,SUPT16H,MAG,HEXA,KRT73,UBE4A,HIVEP3,ZFHX3,KDM4D,PALM2,HFM1,PRICKLE1,SNORD116-27,RPS8,TAF1A,DENND1B,T,CSF2RB,CPT1C,AGAP2,XKR7,CASKIN1,STOX2,SEC16A,LRPAP1,CHRNG,CDH23,HYOU1,TRPC7,FAT1,CDHR3,LRRC43,C1orf87,ADAMTS12,MMP7,FTMT,OR5H15,KLHL6,OBSCN,NNT,ZNF707,AC011294.3,RIMS1,DPYSL4,SIK3,LIG1,TAZ,NET1,PCDH1,ADCY8,ASPH,KIAA1551,ZP1,CDK10,GRXCR1,HUNK,ATP13A1,TRIM75P,NCF1,ZBTB7B,MEPCE,FSCB,TRAV26-2,FAT2,LRP5,ZNF536,ARHGAP36,TPR,PI4KAP1,TDRD1,TTC13,MBOAT7,SLIT1,PEG10,TMEM209,FBXO7,SLC27A5,ACTN3,INADL,SYT4,CST4,RABGAP1L,OR1M1,CYSLTR2,CST5,EIF3L,MAPKBP1,CLK2P1,ABHD1,PDCL,CPLX2,GRK5,RDH8,SMC1B,VPS13B,F11,DENND5B,ZFP69B,ZBED1,CBX2,EPHA8,PPP1R36,ABCC9,MAP2K3,PCDHB1,REM1,APBB1IP,ZNF528,NEB,KCNJ6,PLOD1,TMEM145,ARNT,BOLL,ST18,GYS2,WASF4P,COQ7,ERMAP,ZNF615,STK32A,AMER3,OR10G8,CEP164,ZNF781,SNX14,DNAJC10,C3orf30,LRP2,OR5D13,OR2L8,C8orf74,MDN1,TBX19,NOTUM,FOXN3,MKL1,RNF213,SARDH,FAT3,DAG1,OR5L2,CPA1,EYS,DYNC1I1,KCNA1,IFRD2,BNC2,IRF8,ZNF708,SOBP,THBS1,DSCAML1,CR1,FMN2,SLC9A8,KDM6B,TJP1,KIAA0368,ENPP2,PDHA2,PRUNE2,KNDC1,PLEKHO2,ADAD1,YY1AP1,THADA,NAALADL1,KRTAP5-5,LILRA2,KRTAP1-3,TDRD5,CD53,DBF4B,ACTN4,SCN2A,SCARA3,COL23A1,RP11-464F9.1,PHF19,CLCN1,NUAK2,CLCN2,RPL37A,RP11-32B5.8,MOG,SH3PXD2B,LDB3,ZNF778,PSMF1,LCA5,KLHL32,ITGB3BP,SFMBT2,CDX4,ARHGAP32,GLDN,PLAG1,TMEM132B,TIAM1,ZNF785,CXorf21,PPAPDC3,GOT1L1,PXDNL,KAT7,UTRN,MRGBP,FGB,HARS2,NXF4,GOLGA6L2,GRIK5,SNORD115-36,OBSL1,ABCB5,SPACA1,GPATCH3,UBR7,ZNF221,G6PC,PCDHB13,PIK3C2B,ZNF574,MUC16,ISX,SLC12A3,PPP1R10,FPR1,C1QB,FANCD2OS,COL6A6,KAT2B,TBC1D1,CHKA,ABCA13,DGKA,PSKH1,ZNF141,PCDH9,OR52E2,HERC2,CASP7,ELAVL4,WDR64,OR2A25,NFE2L1,ABCB4,USH2A,REST,CEBPZ,CORO7,C10orf128,MFSD8,ZNF624,PRKD1,BPIFA2,CD300LG,MYH1,SP140L,NAPSA,PYHIN1,DCDC1,ADCYAP1R1,PIGM,ADAMTS9,SMC1A,ADAMTS20,CAMSAP2,HACD1,MROH7,NEDD4L,CEACAM7,SUSD2,PAPPA,TMPRSS11A,COLGALT2,PSMB5,TNXB,RFX6,PTPRN2,ZBED9,TPD52L2,NUDT6,SLX4,MKRN2,CACNA1E,TRAPPC13,VWA3A,OR8H2,PLCL1,KIF5A,ABCC5,SLC35E2,MAP3K12,C10orf62,FSCN3,UMODL1,RSU1,CYP4F3,EDARADD,WDR6,ADH6,HNRNPL,NLGN1,TAS2R60,ZFYVE26,SRCAP,HMOX1,ERN1,DACH1,bP-2189O9.2,CSNK1A1L,ARID5B,OR8I2,IGHV1OR21-1,TCN1,ZDHHC4,CCDC70,PCDH12,PAPD5,DEPDC7,NCALD,OR10A7,ARL6IP1,FAM110B,OR5V1,PFAS,HERC5,NLRP14,SPIDR,THSD7A,CDC20B,PCDHA10,CCAR1,SLC2A3,MSANTD3,MTUS2,GRK4,PLB1,DOCK10,PCDHAC1,AUTS2,HAX1,GTSE1,RP11-252A24.2,SCN9A,GZMB,CHFR,ASH1L,PIK3R5,VNN3,PCDHGA11,RNF128,TRBC2,GDI1,LDLRAD4,LRRK1,LECT1,IL17RA,ARID2,PLA2G4E,PTCD1,BRIP1,KIAA0355,DPYSL5,EGR2,KRT83,TBXAS1,SMPDL3B,CCDC39,GPI,GLI2,XXbac-BPG308J9.3,ACBD6,PKNOX2,WIPF2,IGSF21,PLXNA1,SERPINB6,FAM192A,ESR1,DMBT1,FSTL1,OR10H4,CHAF1B,ISOC2,GFRAL,TMEM74,EVL,SLC7A6OS,HMCN1,CYLD,ZNF526,CCDC27,GPR158,CLDN16,MGAT5B,ZNF804B,OR5AN1,ALDH3B1,VWA2,MYH6,DBX2,FRMPD2,AP3D1,MROH2B,NDST3,SLC39A1,KDM2B,RNF40,PRIM2,IDO1,ARSA,TMEM2,OR10AG1,CDH2,C3orf36,RIMS2,MYOCD,KRT4,RPAP1,FLT3,EHD1,CCDC33,RAB3GAP2,NMUR2,SRD5A2,CHD6,SLC10A2,COPS2,PCDHA13,TRPM5,CPNE8,ABHD2,EPHX4,SPIB,EVC2,GTDC1,SHMT1,KCNH5,GPRC5A,ASIC2,MUC6,SLC25A23,PRODH2,CLRN1,SI,ADCK1,CTNNA3,SLC12A6,MMP24,COL1A1,TEKT5,SLC9A4,RP1L1,BSN,CMYA5,LILRA6,DLG5,CSRP2BP,TPTE,DTX2,HTR1A,AC078899.1,OPRM1,DYDC1,PPP1R2P3,ZNF716,YPEL5,IFI44,OR10K2,MYH8,EML5,ZNF180,NTN5
lung,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lung,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0
lung,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0
