gene,name
DRD3,V_3443
DRD5,V_3444
DRG1,V_3445
DRG2,V_3446
DRGX,V_3447
DRICH1,V_3448
DROSHA,V_3449
DRP2,V_3450
DSC1,V_3451
DSC2,V_3452
DSC3,V_3453
DSCAM,V_3454
DSCAML1,V_3455
DSCC1,V_3456
DSCR10,V_3457
DSCR3,V_3458
DSCR4,V_3459
DSE,V_3460
DSEL,V_3461
DSG1,V_3462
DSG2,V_3463
DSG3,V_3464
DSG4,V_3465
DSN1,V_3466
DSP,V_3467
DSPP,V_3468
DST,V_3469
DSTYK,V_3470
DTL,V_3471
DTNA,V_3472
DTNB,V_3473
DTNBP1,V_3474
DTWD2,V_3475
DTX1,V_3476
DTX2,V_3477
DTX3,V_3478
DTX3L,V_3479
DTX4,V_3480
DUOX1,V_3481
DUOX2,V_3482
DUOXA1,V_3483
DUOXA2,V_3484
DUPD1,V_3485
DUS2,V_3486
DUS3L,V_3487
DUS4L,V_3488
DUSP1,V_3489
DUSP10,V_3490
DUSP11,V_3491
DUSP12,V_3492
DUSP13,V_3493
DUSP15,V_3494
DUSP16,V_3495
DUSP19,V_3496
DUSP21,V_3497
DUSP22,V_3498
DUSP26,V_3499
DUSP27,V_3500
DUSP3,V_3501
DUSP4,V_3502
DUSP5,V_3503
DUSP6,V_3504
DUSP7,V_3505
DUSP9,V_3506
DUXA,V_3507
DVL1,V_3508
DVL2,V_3509
DVL3,V_3510
DXO,V_3511
DYDC1,V_3512
DYDC2,V_3513
DYM,V_3514
DYNAP,V_3515
DYNC1H1,V_3516
DYNC1I1,V_3517
DYNC1I2,V_3518
DYNC2H1,V_3519
DYNC2LI1,V_3520
DYNLL2,V_3521
DYNLRB1,V_3522
DYRK1A,V_3523
DYRK1B,V_3524
DYRK2,V_3525
DYRK3,V_3526
DYRK4,V_3527
DYSF,V_3528
DYTN,V_3529
DYX1C1,V_3530
DZANK1,V_3531
DZIP1,V_3532
DZIP1L,V_3533
DZIP3,V_3534
E2F1,V_3535
E2F2,V_3536
E2F3,V_3537
E2F7,V_3538
E2F8,V_3539
E4F1,V_3540
EAF1,V_3541
EAF2,V_3542
EARS2,V_3543
EBAG9,V_3544
EBF1,V_3545
EBF2,V_3546
EBF3,V_3547
EBI3,V_3548
EBNA1BP2,V_3549
ECD,V_3550
ECE1,V_3551
ECE2,V_3552
ECEL1,V_3553
ECH1,V_3554
ECHDC1,V_3555
ECHDC2,V_3556
ECHDC3,V_3557
ECHS1,V_3558
ECI2,V_3559
ECM1,V_3560
ECM2,V_3561
ECSIT,V_3562
ECT2,V_3563
ECT2L,V_3564
EDA,V_3565
EDA2R,V_3566
EDAR,V_3567
EDARADD,V_3568
EDC3,V_3569
EDC4,V_3570
EDEM1,V_3571
EDEM2,V_3572
EDEM3,V_3573
EDIL3,V_3574
EDN3,V_3575
EDNRA,V_3576
EDNRB,V_3577
EDRF1,V_3578
EEA1,V_3579
EED,V_3580
EEF1A1,V_3581
EEF1A1P9,V_3582
EEF1A2,V_3583
EEF1B2,V_3584
EEF1D,V_3585
EEF1G,V_3586
EEF2,V_3587
EEF2K,V_3588
EEFSEC,V_3589
EEPD1,V_3590
EFCAB1,V_3591
EFCAB11,V_3592
EFCAB12,V_3593
EFCAB13,V_3594
EFCAB14,V_3595
EFCAB3,V_3596
EFCAB5,V_3597
EFCAB6,V_3598
EFCAB7,V_3599
EFCC1,V_3600
EFEMP1,V_3601
EFEMP2,V_3602
EFHB,V_3603
EFHC1,V_3604
EFHC2,V_3605
EFNA1,V_3606
EFNA3,V_3607
EFNA5,V_3608
EFNB1,V_3609
EFNB2,V_3610
EFR3A,V_3611
EFS,V_3612
EFTUD1,V_3613
EFTUD2,V_3614
EGF,V_3615
EGFL6,V_3616
EGFL8,V_3617
EGFLAM,V_3618
EGFR,V_3619
EGLN2,V_3620
EGLN3,V_3621
EGR1,V_3622
EGR2,V_3623
EGR3,V_3624
EGR4,V_3625
EHBP1,V_3626
EHBP1L1,V_3627
EHD1,V_3628
EHD2,V_3629
EHD3,V_3630
EHD4,V_3631
EHF,V_3632
EHHADH,V_3633
EHMT1,V_3634
EHMT2,V_3635
EI24P4,V_3636
EID3,V_3637
EIF1,V_3638
EIF1AD,V_3639
EIF1AX,V_3640
EIF2AK1,V_3641
EIF2AK2,V_3642
EIF2AK3,V_3643
EIF2AK4,V_3644
EIF2B2,V_3645
EIF2B3,V_3646
EIF2B4,V_3647
EIF2B5,V_3648
EIF2D,V_3649
EIF2S3,V_3650
EIF3A,V_3651
EIF3B,V_3652
EIF3E,V_3653
EIF3F,V_3654
EIF3H,V_3655
EIF3I,V_3656
EIF3IP1,V_3657
EIF3K,V_3658
EIF3L,V_3659
EIF4A1,V_3660
EIF4A2,V_3661
EIF4A3,V_3662
EIF4B,V_3663
EIF4E2,V_3664
EIF4E3,V_3665
EIF4ENIF1,V_3666
EIF4G1,V_3667
EIF4G2,V_3668
EIF4G3,V_3669
EIF4H,V_3670
EIF5,V_3671
EIF5B,V_3672
EIF6,V_3673
ELAC2,V_3674
ELANE,V_3675
ELAVL1,V_3676
ELAVL2,V_3677
ELAVL3,V_3678
ELAVL4,V_3679
ELF1,V_3680
ELF2,V_3681
ELF3,V_3682
ELF4,V_3683
ELF5,V_3684
ELFN2,V_3685
ELK1,V_3686
ELK3,V_3687
ELK4,V_3688
ELL,V_3689
ELL2,V_3690
ELMO1,V_3691
ELMO2,V_3692
ELMO3,V_3693
ELMOD1,V_3694
ELMOD3,V_3695
ELMSAN1,V_3696
ELN,V_3697
ELOVL2,V_3698
ELOVL4,V_3699
ELOVL6,V_3700
ELOVL7,V_3701
ELP2,V_3702
ELP3,V_3703
ELP4,V_3704
ELP5,V_3705
ELSPBP1,V_3706
EMB,V_3707
EMBP1,V_3708
EMC1,V_3709
EMC2,V_3710
EMCN,V_3711
EME1,V_3712
EME2,V_3713
EMID1,V_3714
EMILIN1,V_3715
EMILIN2,V_3716
EMILIN3,V_3717
EML1,V_3718
EML2,V_3719
EML3,V_3720
EML4,V_3721
EML5,V_3722
EMP3,V_3723
EMX2,V_3724
EN1,V_3725
ENAH,V_3726
ENAM,V_3727
ENC1,V_3728
ENDOD1,V_3729
ENDOV,V_3730
ENG,V_3731
ENGASE,V_3732
ENO1,V_3733
ENO2,V_3734
ENO3,V_3735
ENOPH1,V_3736
ENOSF1,V_3737
ENOX1,V_3738
ENOX2,V_3739
ENPEP,V_3740
ENPP1,V_3741
ENPP2,V_3742
ENPP3,V_3743
ENPP4,V_3744
ENPP5,V_3745
ENPP6,V_3746
ENPP7,V_3747
ENSA,V_3748
ENTHD1,V_3749
ENTHD2,V_3750
ENTPD1,V_3751
ENTPD3,V_3752
ENTPD4,V_3753
ENTPD5,V_3754
ENTPD6,V_3755
ENTPD7,V_3756
EOGT,V_3757
EOMES,V_3758
EP300,V_3759
EP400,V_3760
EP400NL,V_3761
EPAS1,V_3762
EPB41,V_3763
EPB41L1,V_3764
EPB41L2,V_3765
EPB41L3,V_3766
EPB41L4A,V_3767
EPB41L4B,V_3768
EPB41L5,V_3769
EPB42,V_3770
EPC1,V_3771
EPC2,V_3772
EPCAM,V_3773
EPDR1,V_3774
EPG5,V_3775
EPHA1,V_3776
EPHA10,V_3777
EPHA2,V_3778
EPHA3,V_3779
EPHA4,V_3780
EPHA5,V_3781
EPHA6,V_3782
EPHA7,V_3783
EPHA8,V_3784
EPHB1,V_3785
EPHB2,V_3786
EPHB3,V_3787
EPHB4,V_3788
EPHB6,V_3789
EPHX1,V_3790
EPHX2,V_3791
EPHX3,V_3792
EPHX4,V_3793
EPM2AIP1,V_3794
EPN1,V_3795
EPN2,V_3796
EPN3,V_3797
EPO,V_3798
EPOR,V_3799
EPPIN,V_3800
EPPK1,V_3801
EPRS,V_3802
EPS15,V_3803
EPS15L1,V_3804
EPS8,V_3805
EPS8L1,V_3806
EPS8L2,V_3807
EPS8L3,V_3808
EPSTI1,V_3809
EPT1,V_3810
EPX,V_3811
EPYC,V_3812
ERAL1,V_3813
ERAP1,V_3814
ERAP2,V_3815
ERBB2,V_3816
ERBB2IP,V_3817
ERBB3,V_3818
ERBB4,V_3819
ERC1,V_3820
ERC2,V_3821
ERCC1,V_3822
ERCC2,V_3823
ERCC3,V_3824
ERCC4,V_3825
ERCC5,V_3826
ERCC6,V_3827
ERCC6-PGBD3,V_3828
ERCC6L,V_3829
ERCC6L2,V_3830
ERCC8,V_3831
EREG,V_3832
ERF,V_3833
ERG,V_3834
ERGIC1,V_3835
ERGIC2,V_3836
ERGIC3,V_3837
ERI3,V_3838
ERICH1,V_3839
ERICH3,V_3840
ERICH6,V_3841
ERLEC1,V_3842
ERLIN2,V_3843
ERMAP,V_3844
ERMARD,V_3845
ERMN,V_3846
ERN1,V_3847
ERN2,V_3848
ERO1LB,V_3849
ERP44,V_3850
ERRFI1,V_3851
ERV3-1,V_3852
ERVFRD-1,V_3853
ERVW-1,V_3854
ESAM,V_3855
ESCO1,V_3856
ESCO2,V_3857
ESD,V_3858
ESF1,V_3859
ESM1,V_3860
ESPL1,V_3861
ESPN,V_3862
ESPNL,V_3863
ESR1,V_3864
ESR2,V_3865
ESRP1,V_3866
ESRP2,V_3867
ESRRB,V_3868
ESRRG,V_3869
ESX1,V_3870
ESYT1,V_3871
ESYT2,V_3872
ESYT3,V_3873
ETAA1,V_3874
ETF1,V_3875
ETFB,V_3876
ETFDH,V_3877
ETHE1,V_3878
ETNK1,V_3879
ETNK2,V_3880
ETNPPL,V_3881
ETS1,V_3882
ETV1,V_3883
ETV2,V_3884
ETV3,V_3885
ETV3L,V_3886
ETV4,V_3887
ETV5,V_3888
ETV6,V_3889
ETV7,V_3890
EVA1C,V_3891
EVC,V_3892
EVC2,V_3893
EVI2B,V_3894
EVI5,V_3895
EVL,V_3896
EVPL,V_3897
EVPLL,V_3898
EVX1,V_3899
EVX2,V_3900
EWSR1,V_3901
EXD1,V_3902
EXD2,V_3903
EXD3,V_3904
EXO1,V_3905
EXO5,V_3906
EXOC1,V_3907
EXOC2,V_3908
EXOC3,V_3909
EXOC3L1,V_3910
EXOC3L2,V_3911
EXOC3L4,V_3912
EXOC4,V_3913
EXOC6,V_3914
EXOC6B,V_3915
EXOC7,V_3916
EXOC8,V_3917
EXOG,V_3918
EXOSC10,V_3919
EXOSC2,V_3920
EXOSC4,V_3921
EXOSC9,V_3922
EXPH5,V_3923
EXT1,V_3924
EXT2,V_3925
EXTL1,V_3926
EXTL3,V_3927
EYA1,V_3928
EYA2,V_3929
EYA3,V_3930
EYA4,V_3931
EYS,V_3932
EZH1,V_3933
EZH2,V_3934
EZR,V_3935
F10,V_3936
F11,V_3937
F11R,V_3938
F12,V_3939
F13A1,V_3940
F13B,V_3941
F2,V_3942
F2R,V_3943
F2RL1,V_3944
F2RL2,V_3945
F2RL3,V_3946
F5,V_3947
F7,V_3948
F8,V_3949
F9,V_3950
FA2H,V_3951
FAAH,V_3952
FAAH2,V_3953
FABP1,V_3954
FABP12,V_3955
FABP5P3,V_3956
FABP6,V_3957
FABP7,V_3958
FADD,V_3959
FADS1,V_3960
FADS3,V_3961
FADS6,V_3962
FAF1,V_3963
FAF2,V_3964
FAH,V_3965
FAHD1,V_3966
FAHD2B,V_3967
FAIM,V_3968
FAIM2,V_3969
FAM102A,V_3970
FAM102B,V_3971
FAM104A,V_3972
FAM104B,V_3973
FAM105A,V_3974
FAM107A,V_3975
FAM107B,V_3976
FAM109B,V_3977
FAM110B,V_3978
FAM111A,V_3979
FAM111B,V_3980
FAM114A1,V_3981
FAM114A2,V_3982
FAM117A,V_3983
FAM117B,V_3984
FAM118A,V_3985
FAM118B,V_3986
FAM120A,V_3987
FAM120B,V_3988
FAM120C,V_3989
FAM122A,V_3990
FAM124A,V_3991
FAM124B,V_3992
FAM126A,V_3993
FAM126B,V_3994
FAM129A,V_3995
FAM129B,V_3996
FAM129C,V_3997
FAM131A,V_3998
FAM131B,V_3999
FAM133A,V_4000
FAM134A,V_4001
FAM134B,V_4002
FAM134C,V_4003
FAM135A,V_4004
FAM135B,V_4005
FAM136A,V_4006
FAM13A,V_4007
FAM13B,V_4008
FAM13C,V_4009
FAM149A,V_4010
FAM151A,V_4011
FAM153A,V_4012
FAM153B,V_4013
FAM153C,V_4014
FAM155A,V_4015
FAM155B,V_4016
FAM159A,V_4017
FAM160A2,V_4018
FAM160B1,V_4019
FAM161A,V_4020
FAM161B,V_4021
FAM166A,V_4022
FAM167A,V_4023
FAM167B,V_4024
FAM168B,V_4025
FAM169A,V_4026
FAM169B,V_4027
FAM170A,V_4028
FAM171A1,V_4029
FAM171B,V_4030
FAM172A,V_4031
FAM173B,V_4032
FAM174A,V_4033
FAM175A,V_4034
FAM175B,V_4035
FAM177B,V_4036
FAM178A,V_4037
FAM179A,V_4038
FAM179B,V_4039
FAM180A,V_4040
FAM181A,V_4041
FAM181B,V_4042
FAM183B,V_4043
FAM184A,V_4044
FAM186B,V_4045
FAM187B,V_4046
FAM188A,V_4047
FAM188B,V_4048
FAM189B,V_4049
FAM193A,V_4050
FAM193B,V_4051
FAM196A,V_4052
FAM198B,V_4053
FAM199X,V_4054
FAM19A2,V_4055
FAM19A4,V_4056
FAM19A5,V_4057
FAM208A,V_4058
FAM208B,V_4059
FAM209B,V_4060
FAM20B,V_4061
FAM212B,V_4062
FAM214A,V_4063
FAM214B,V_4064
FAM217A,V_4065
FAM217B,V_4066
FAM21A,V_4067
FAM21C,V_4068
FAM21EP,V_4069
FAM220A,V_4070
FAM220CP,V_4071
FAM221A,V_4072
FAM221B,V_4073
FAM222A,V_4074
FAM222B,V_4075
FAM227B,V_4076
FAM228A,V_4077
FAM24A,V_4078
FAM26E,V_4079
FAM27L,V_4080
FAM35A,V_4081
FAM3B,V_4082
FAM3D,V_4083
FAM43A,V_4084
FAM46A,V_4085
FAM46B,V_4086
FAM46C,V_4087
FAM46D,V_4088
FAM47A,V_4089
FAM47B,V_4090
FAM47C,V_4091
FAM47E-STBD1,V_4092
FAM49A,V_4093
FAM49B,V_4094
FAM50B,V_4095
FAM53A,V_4096
FAM53B,V_4097
FAM53C,V_4098
FAM57B,V_4099
FAM58BP,V_4100
FAM63B,V_4101
FAM65A,V_4102
FAM65B,V_4103
FAM65C,V_4104
FAM69B,V_4105
FAM71A,V_4106
FAM71B,V_4107
FAM71C,V_4108
FAM71D,V_4109
FAM71E1,V_4110
FAM71F1,V_4111
FAM73A,V_4112
FAM73B,V_4113
FAM76A,V_4114
FAM76B,V_4115
FAM78A,V_4116
FAM78B,V_4117
FAM81A,V_4118
FAM81B,V_4119
FAM83A,V_4120
FAM83B,V_4121
FAM83C,V_4122
FAM83D,V_4123
FAM83F,V_4124
FAM83G,V_4125
FAM83H,V_4126
FAM84A,V_4127
FAM86B1,V_4128
FAM86C1,V_4129
FAM86DP,V_4130
FAM86EP,V_4131
FAM8A1,V_4132
FAM90A1,V_4133
FAM91A1,V_4134
FAM92A1P2,V_4135
FAM98A,V_4136
FAM98C,V_4137
FAM9A,V_4138
FAM9B,V_4139
FAN1,V_4140
FANCA,V_4141
FANCB,V_4142
FANCC,V_4143
FANCD2,V_4144
FANCD2OS,V_4145
FANCE,V_4146
FANCF,V_4147
FANCG,V_4148
FANCI,V_4149
FANCL,V_4150
FANCM,V_4151
FANK1,V_4152
FAP,V_4153
FAR1,V_4154
FAR2,V_4155
FARP1,V_4156
FARP2,V_4157
FARS2,V_4158
FARSA,V_4159
FARSB,V_4160
FAS,V_4161
FASLG,V_4162
FASN,V_4163
FASTK,V_4164
FASTKD1,V_4165
FASTKD2,V_4166
FASTKD3,V_4167
FASTKD5,V_4168
FAT1,V_4169
FAT2,V_4170
FAT3,V_4171
FAT4,V_4172
FATE1,V_4173
FAU,V_4174
FAXC,V_4175
FAXDC2,V_4176
FBF1,V_4177
FBL,V_4178
FBLN1,V_4179
FBLN2,V_4180
FBLN5,V_4181
FBLN7,V_4182
FBN1,V_4183
FBN2,V_4184
FBN3,V_4185
FBP1,V_4186
FBP2,V_4187
FBXL13,V_4188
FBXL14,V_4189
FBXL17,V_4190
FBXL18,V_4191
FBXL19,V_4192
FBXL2,V_4193
FBXL20,V_4194
FBXL21,V_4195
FBXL4,V_4196
FBXL5,V_4197
FBXL7,V_4198
FBXO10,V_4199
FBXO11,V_4200
FBXO15,V_4201
FBXO16,V_4202
FBXO17,V_4203
FBXO18,V_4204
FBXO21,V_4205
FBXO22,V_4206
FBXO24,V_4207
FBXO25,V_4208
FBXO28,V_4209
FBXO3,V_4210
FBXO30,V_4211
FBXO31,V_4212
FBXO32,V_4213
FBXO33,V_4214
FBXO34,V_4215
FBXO38,V_4216
FBXO39,V_4217
FBXO4,V_4218
FBXO40,V_4219
FBXO41,V_4220
FBXO42,V_4221
FBXO43,V_4222
FBXO46,V_4223
FBXO47,V_4224
FBXO5,V_4225
FBXO7,V_4226
FBXW10,V_4227
FBXW11,V_4228
FBXW12,V_4229
FBXW2,V_4230
FBXW4,V_4231
FBXW7,V_4232
FBXW8,V_4233
FBXW9,V_4234
FCAMR,V_4235
FCAR,V_4236
FCER1A,V_4237
FCER1G,V_4238
FCER2,V_4239
FCGBP,V_4240
FCGR1A,V_4241
FCGR2A,V_4242
FCGR2B,V_4243
FCGR2C,V_4244
FCGR3A,V_4245
FCGR3B,V_4246
FCGRT,V_4247
FCHO1,V_4248
FCHO2,V_4249
FCHSD1,V_4250
FCHSD2,V_4251
FCN1,V_4252
FCN2,V_4253
FCRL1,V_4254
FCRL2,V_4255
FCRL3,V_4256
FCRL4,V_4257
FCRL5,V_4258
FCRL6,V_4259
FCRLA,V_4260
FCRLB,V_4261
FDFT1,V_4262
FDPS,V_4263
FDXR,V_4264
FECH,V_4265
FEM1B,V_4266
FEM1C,V_4267
FER,V_4268
FER1L5,V_4269
FER1L6,V_4270
FERD3L,V_4271
FERMT1,V_4272
FERMT2,V_4273
FERMT3,V_4274
FES,V_4275
FETUB,V_4276
FEZ1,V_4277
FEZ2,V_4278
FEZF1,V_4279
FEZF2,V_4280
FFAR1,V_4281
FFAR2,V_4282
FFAR3,V_4283
FFAR4,V_4284
FGA,V_4285
FGB,V_4286
FGD1,V_4287
FGD2,V_4288
FGD3,V_4289
FGD4,V_4290
FGD5,V_4291
FGD6,V_4292
FGF10,V_4293
FGF12,V_4294
FGF13,V_4295
FGF14,V_4296
FGF18,V_4297
FGF20,V_4298
FGF21,V_4299
FGF23,V_4300
FGF3,V_4301
FGF4,V_4302
FGF5,V_4303
FGF6,V_4304
FGF7,V_4305
FGF8,V_4306
FGF9,V_4307
FGFBP1,V_4308
FGFBP2,V_4309
FGFR1,V_4310
FGFR1OP,V_4311
FGFR2,V_4312
FGFR3,V_4313
FGFR4,V_4314
FGFRL1,V_4315
FGG,V_4316
FGGY,V_4317
FGL2,V_4318
FGR,V_4319
FH,V_4320
FHDC1,V_4321
FHL1,V_4322
FHL2,V_4323
FHL5,V_4324
FHOD1,V_4325
FHOD3,V_4326
FIBCD1,V_4327
FIBIN,V_4328
FIBP,V_4329
FICD,V_4330
FIG4,V_4331
FIGF,V_4332
FIGN,V_4333
FIGNL1,V_4334
FILIP1,V_4335
FILIP1L,V_4336
FIP1L1,V_4337
FITM2,V_4338
FIZ1,V_4339
FKBP10,V_4340
FKBP15,V_4341
FKBP1A,V_4342
FKBP4,V_4343
FKBP5,V_4344
FKBP6,V_4345
FKBP8,V_4346
FKBP9,V_4347
FKBPL,V_4348
FKRP,V_4349
FKTN,V_4350
FLAD1,V_4351
FLCN,V_4352
FLG,V_4353
FLG2,V_4354
FLI1,V_4355
FLII,V_4356
FLNA,V_4357
FLNB,V_4358
FLNC,V_4359
FLOT1,V_4360
FLRT1,V_4361
FLRT2,V_4362
FLRT3,V_4363
FLT1,V_4364
FLT3,V_4365
FLT4,V_4366
FLVCR2,V_4367
FLYWCH1,V_4368
FMN1,V_4369
FMN2,V_4370
FMNL1,V_4371
FMNL2,V_4372
FMNL3,V_4373
FMO1,V_4374
FMO2,V_4375
FMO3,V_4376
FMO4,V_4377
FMO5,V_4378
FMOD,V_4379
FMR1,V_4380
FMR1NB,V_4381
FN1,V_4382
FN3K,V_4383
FN3KRP,V_4384
FNBP1,V_4385
FNBP1L,V_4386
FNBP4,V_4387
FNDC1,V_4388
FNDC3A,V_4389
FNDC3B,V_4390
FNDC4,V_4391
FNDC7,V_4392
FNDC9,V_4393
FNIP1,V_4394
FNIP2,V_4395
FNTB,V_4396
FOCAD,V_4397
FOLH1,V_4398
FOLH1B,V_4399
FOLR1,V_4400
FOLR2,V_4401
FOLR3,V_4402
FOS,V_4403
FOSB,V_4404
FOSL1,V_4405
FOXA1,V_4406
FOXA2,V_4407
FOXA3,V_4408
FOXB1,V_4409
FOXB2,V_4410
FOXC1,V_4411
FOXC2,V_4412
FOXD4,V_4413
FOXD4L1,V_4414
FOXD4L3,V_4415
FOXD4L4,V_4416
FOXD4L5,V_4417
FOXD4L6,V_4418
FOXF1,V_4419
FOXF2,V_4420
FOXG1,V_4421
FOXI1,V_4422
FOXJ2,V_4423
FOXJ3,V_4424
FOXK1,V_4425
FOXK2,V_4426
FOXL1,V_4427
FOXL2,V_4428
FOXL2NB,V_4429
FOXM1,V_4430
FOXN1,V_4431
FOXN2,V_4432
FOXN3,V_4433
FOXN4,V_4434
FOXO1,V_4435
FOXO3,V_4436
FOXO4,V_4437
FOXP1,V_4438
FOXP2,V_4439
FOXP4,V_4440
FOXR1,V_4441
FOXR2,V_4442
FOXRED1,V_4443
FOXRED2,V_4444
FOXS1,V_4445
FPGS,V_4446
FPGT,V_4447
FPGT-TNNI3K,V_4448
FPR1,V_4449
FPR2,V_4450
FPR3,V_4451
FRAS1,V_4452
FREM1,V_4453
FREM2,V_4454
FRG1,V_4455
FRG1B,V_4456
FRG2,V_4457
FRG2B,V_4458
FRG2C,V_4459
FRG2DP,V_4460
FRK,V_4461
FRMD1,V_4462
FRMD3,V_4463
FRMD4A,V_4464
FRMD4B,V_4465
FRMD5,V_4466
FRMD6,V_4467
FRMD7,V_4468
FRMD8,V_4469
FRMPD1,V_4470
FRMPD2,V_4471
FRMPD2B,V_4472
FRMPD3,V_4473
FRMPD4,V_4474
FRRS1,V_4475
FRRS1L,V_4476
FRS2,V_4477
FRS3,V_4478
FRY,V_4479
FRYL,V_4480
FRZB,V_4481
FSCB,V_4482
FSCN1,V_4483
FSCN3,V_4484
FSD1,V_4485
FSD2,V_4486
FSHB,V_4487
FSHR,V_4488
FSIP1,V_4489
FSIP2,V_4490
FST,V_4491
FSTL1,V_4492
FSTL4,V_4493
FSTL5,V_4494
FTCD,V_4495
FTH1,V_4496
FTHL17,V_4497
FTL,V_4498
FTMT,V_4499
FTO,V_4500
FTSJ1,V_4501
FTSJ3,V_4502
FUBP1,V_4503
FUBP3,V_4504
FUCA1,V_4505
FUK,V_4506
FUNDC2P2,V_4507
FURIN,V_4508
FUS,V_4509
FUT1,V_4510
FUT10,V_4511
FUT11,V_4512
FUT2,V_4513
FUT3,V_4514
FUT4,V_4515
FUT5,V_4516
FUT6,V_4517
FUT8,V_4518
FUT9,V_4519
FXN,V_4520
FXR1,V_4521
FXR2,V_4522
FXYD5,V_4523
FXYD6,V_4524
FXYD7,V_4525
FYB,V_4526
FYCO1,V_4527
FYN,V_4528
FZD1,V_4529
FZD10,V_4530
FZD2,V_4531
FZD3,V_4532
FZD4,V_4533
FZD5,V_4534
FZD6,V_4535
FZD7,V_4536
FZD8,V_4537
FZD9,V_4538
FZR1,V_4539
G2E3,V_4540
G3BP1,V_4541
G3BP2,V_4542
G6PC,V_4543
G6PC2,V_4544
G6PC3,V_4545
G6PD,V_4546
GAA,V_4547
GAB1,V_4548
GAB2,V_4549
GAB3,V_4550
GAB4,V_4551
GABBR1,V_4552
GABBR2,V_4553
GABPA,V_4554
GABPB1,V_4555
GABPB2,V_4556
GABRA1,V_4557
GABRA2,V_4558
GABRA3,V_4559
GABRA4,V_4560
GABRA5,V_4561
GABRA6,V_4562
GABRB1,V_4563
GABRB2,V_4564
GABRB3,V_4565
GABRD,V_4566
GABRE,V_4567
GABRG1,V_4568
GABRG2,V_4569
GABRG3,V_4570
GABRP,V_4571
GABRQ,V_4572
GABRR1,V_4573
GABRR2,V_4574
GABRR3,V_4575
GAD1,V_4576
GAD2,V_4577
GADL1,V_4578
GAK,V_4579
GAL3ST1,V_4580
GAL3ST2,V_4581
GAL3ST3,V_4582
GAL3ST4,V_4583
GALC,V_4584
GALE,V_4585
GALK2,V_4586
GALM,V_4587
GALNS,V_4588
GALNT1,V_4589
GALNT10,V_4590
GALNT12,V_4591
GALNT13,V_4592
GALNT14,V_4593
GALNT15,V_4594
GALNT16,V_4595
GALNT18,V_4596
GALNT2,V_4597
GALNT3,V_4598
GALNT5,V_4599
GALNT6,V_4600
GALNT7,V_4601
GALNT8,V_4602
GALNT9,V_4603
GALNTL5,V_4604
GALNTL6,V_4605
GALR1,V_4606
GALR2,V_4607
GALT,V_4608
GAN,V_4609
GANAB,V_4610
GANC,V_4611
GAP43,V_4612
GAPDH,V_4613
GAPDHS,V_4614
GAPVD1,V_4615
GAR1,V_4616
GAREM,V_4617
GARNL3,V_4618
GARS,V_4619
GART,V_4620
GAS2,V_4621
GAS2L1,V_4622
GAS2L2,V_4623
GAS2L3,V_4624
GAS6,V_4625
GAS7,V_4626
GAS8,V_4627
GAST,V_4628
GATA1,V_4629
GATA2,V_4630
GATA3,V_4631
GATA4,V_4632
GATA6,V_4633
GATAD2A,V_4634
GATAD2B,V_4635
GATB,V_4636
GATM,V_4637
GATS,V_4638
GBA,V_4639
GBA2,V_4640
GBA3,V_4641
GBE1,V_4642
GBF1,V_4643
GBGT1,V_4644
GBP1,V_4645
GBP1P1,V_4646
GBP2,V_4647
GBP3,V_4648
GBP4,V_4649
GBP5,V_4650
GBP6,V_4651
GBP7,V_4652
GBX1,V_4653
GBX2,V_4654
GC,V_4655
GCA,V_4656
GCAT,V_4657
GCC1,V_4658
GCC2,V_4659
GCDH,V_4660
GCFC2,V_4661
GCH1,V_4662
GCK,V_4663
GCKR,V_4664
GCLC,V_4665
GCM1,V_4666
GCM2,V_4667
GCN1L1,V_4668
GCNT1,V_4669
GCNT2,V_4670
GCNT3,V_4671
GCNT4,V_4672
GCSAM,V_4673
GCSAML,V_4674
GDA,V_4675
GDAP1,V_4676
GDAP1L1,V_4677
GDAP2,V_4678
GDF10,V_4679
GDF15,V_4680
GDF2,V_4681
GDF3,V_4682
GDF5,V_4683
GDF6,V_4684
GDF7,V_4685
GDF9,V_4686
GDI1,V_4687
GDI2,V_4688
GDNF,V_4689
GDPD1,V_4690
GDPD2,V_4691
GDPD3,V_4692
GDPD4,V_4693
GDPD5,V_4694
GDPGP1,V_4695
GEM,V_4696
GEMIN4,V_4697
GEMIN5,V_4698
GEMIN7,V_4699
GEMIN8,V_4700
GEN1,V_4701
GET4,V_4702
GFAP,V_4703
GFI1,V_4704
GFI1B,V_4705
GFM1,V_4706
GFM2,V_4707
GFOD1,V_4708
GFOD2,V_4709
GFPT1,V_4710
GFPT2,V_4711
GFRA1,V_4712
GFRA2,V_4713
GFRA3,V_4714
GFRAL,V_4715
GGA1,V_4716
GGA3,V_4717
GGCT,V_4718
GGCX,V_4719
GGH,V_4720
GGN,V_4721
GGNBP2,V_4722
GGT1,V_4723
GGT5,V_4724
GGT7,V_4725
GGT8P,V_4726
GGTLC1,V_4727
GH1,V_4728
GH2,V_4729
GHDC,V_4730
GHR,V_4731
GHRHR,V_4732
GHSR,V_4733
GID8,V_4734
GIF,V_4735
GIGYF1,V_4736
GIGYF2,V_4737
GIMAP1,V_4738
GIMAP2,V_4739
GIMAP4,V_4740
GIMAP5,V_4741
GIMAP6,V_4742
